"member_casual","ride_month","no_of_rides"
"casual","Jul","369393"
"casual","Aug","341462"
"member","Aug","332914"
"member","Sep","328183"
"member","Jul","322892"
"member","Jun","304579"
"casual","Jun","304184"
"casual","Sep","292920"
"member","Oct","288851"
"member","May","234155"
"casual","May","216823"
"casual","Oct","189115"
"member","Nov","185908"
"member","Apr","177781"
"member","Dec","131293"
"member","Mar","130046"
"casual","Apr","120418"
"casual","Mar","75641"
"casual","Nov","69958"
"member","Jan","68818"
"casual","Dec","45076"
"member","Feb","34381"
"casual","Jan","14690"
"casual","Feb","8613"
