"member_casual","ride_month","m_avg_duration"
"casual","Feb","47.14"
"casual","May","39.64"
"casual","Jun","38.52"
"casual","Mar","38.48"
"casual","Apr","38.44"
"casual","Jul","33.29"
"casual","Aug","28.56"
"casual","Sep","28.09"
"casual","Jan","26.37"
"casual","Oct","26.31"
"casual","Dec","24.84"
"casual","Nov","22.48"
"member","Feb","14.78"
"member","May","14.34"
"member","Apr","14.26"
"member","Jun","14.14"
"member","Jul","13.79"
"member","Mar","13.67"
"member","Aug","13.55"
"member","Sep","13.13"
"member","Jan","12.03"
"member","Oct","12.01"
"member","Nov","10.95"
"member","Dec","10.58"
